index	playlist_id	videos_total	playlist_name	playlist_url
1	x6bv7m	6	Haru 2019	https://www.dailymotion.com/playlist/x6bv7m
2	x6bw0h	17	Yusho - 01 !!!	https://www.dailymotion.com/playlist/x6bw0h
3	x6bw57	5	Diferent Kimarite !	https://www.dailymotion.com/playlist/x6bw57
4	x6c6m0	4	2018 World Sumo Championship	https://www.dailymotion.com/playlist/x6c6m0
5	x6cvbd	6	European Sumo Championships 2019	https://www.dailymotion.com/playlist/x6cvbd
6	x6djny	14	Natsu 2019 - Day 1	https://www.dailymotion.com/playlist/x6djny
7	x6dn9c	15	Natsu 2019 - Day 2	https://www.dailymotion.com/playlist/x6dn9c
8	x6dn9d	19	Natsu 2019 - Day 3	https://www.dailymotion.com/playlist/x6dn9d
9	x6dn9e	17	Natsu 2019 - Day 4	https://www.dailymotion.com/playlist/x6dn9e
10	x6dn9f	18	Natsu 2019 - Day 5	https://www.dailymotion.com/playlist/x6dn9f
11	x6dn9g	18	Natsu 2019 - Day 6	https://www.dailymotion.com/playlist/x6dn9g
12	x6dn9h	17	Natsu 2019 - Day 7	https://www.dailymotion.com/playlist/x6dn9h
13	x6dn9i	18	Natsu 2019 - Day 8	https://www.dailymotion.com/playlist/x6dn9i
14	x6dn9j	19	Natsu 2019 - Day 9	https://www.dailymotion.com/playlist/x6dn9j
15	x6dn9k	15	Natsu 2019 - Day 10	https://www.dailymotion.com/playlist/x6dn9k
16	x6dn9l	18	Natsu 2019 - Day 11	https://www.dailymotion.com/playlist/x6dn9l
17	x6dn9m	14	Natsu 2019 - Day 12	https://www.dailymotion.com/playlist/x6dn9m
18	x6dn9n	13	Natsu 2019 - Day 13	https://www.dailymotion.com/playlist/x6dn9n
19	x6dn9o	15	Natsu 2019 - Day 14	https://www.dailymotion.com/playlist/x6dn9o
20	x6dn9q	14	Natsu 2019 - Day 15	https://www.dailymotion.com/playlist/x6dn9q
21	x6eeju	8	Henka!	https://www.dailymotion.com/playlist/x6eeju
22	x6fdzy	14	Nagoya 2019 - Day 1	https://www.dailymotion.com/playlist/x6fdzy
23	x6ff8u	22	Nagoya 2019 - Day 2	https://www.dailymotion.com/playlist/x6ff8u
24	x6ff9e	18	Nagoya 2019 - Day 3	https://www.dailymotion.com/playlist/x6ff9e
25	x6ff9f	19	Nagoya 2019 - Day 4	https://www.dailymotion.com/playlist/x6ff9f
26	x6ff9g	18	Nagoya 2019 - Day 5	https://www.dailymotion.com/playlist/x6ff9g
27	x6ff9h	19	Nagoya 2019 - Day 6	https://www.dailymotion.com/playlist/x6ff9h
28	x6ff9i	16	Nagoya 2019 - Day 7	https://www.dailymotion.com/playlist/x6ff9i
29	x6ff9j	19	Nagoya 2019 - Day 8	https://www.dailymotion.com/playlist/x6ff9j
30	x6ff9k	20	Nagoya 2019 - Day 9	https://www.dailymotion.com/playlist/x6ff9k
31	x6ff9o	17	Nagoya 2019 - Day 10	https://www.dailymotion.com/playlist/x6ff9o
32	x6ff9p	17	Nagoya 2019 - Day 11	https://www.dailymotion.com/playlist/x6ff9p
33	x6ff9q	18	Nagoya 2019 - Day 12	https://www.dailymotion.com/playlist/x6ff9q
34	x6ff9r	21	Nagoya 2019 - Day 13	https://www.dailymotion.com/playlist/x6ff9r
35	x6ff9s	14	Nagoya 2019 - Day 14	https://www.dailymotion.com/playlist/x6ff9s
36	x6ff9t	17	Nagoya 2019 - Day 15	https://www.dailymotion.com/playlist/x6ff9t
37	x6h0hx	21	Aki 2019 - Day 1	https://www.dailymotion.com/playlist/x6h0hx
38	x6h0hy	16	Aki 2019 - Day 2	https://www.dailymotion.com/playlist/x6h0hy
39	x6h0hz	18	Aki 2019 - Day 3	https://www.dailymotion.com/playlist/x6h0hz
40	x6h0i0	20	Aki 2019 - Day 4	https://www.dailymotion.com/playlist/x6h0i0
41	x6h0i1	17	Aki 2019 - Day 5	https://www.dailymotion.com/playlist/x6h0i1
42	x6h0i2	18	Aki 2019 - Day 6	https://www.dailymotion.com/playlist/x6h0i2
43	x6h0i3	15	Aki 2019 - Day 7	https://www.dailymotion.com/playlist/x6h0i3
44	x6h0i5	18	Aki 2019 - Day 8	https://www.dailymotion.com/playlist/x6h0i5
45	x6h0i6	20	Aki 2019 - Day 9	https://www.dailymotion.com/playlist/x6h0i6
46	x6h0i7	17	Aki 2019 - Day 10	https://www.dailymotion.com/playlist/x6h0i7
47	x6h0i8	17	Aki 2019 - Day 11	https://www.dailymotion.com/playlist/x6h0i8
48	x6h0i9	17	Aki 2019 - Day 12	https://www.dailymotion.com/playlist/x6h0i9
